,precision,recall,f1-score,support
B-PLACE,0.775,0.3875,0.5166666666666667,80.0
B-PRICE,0.5,0.038461538461538464,0.07142857142857142,26.0
B-PRODUCT,0.6752577319587629,0.4212218649517685,0.5188118811881188,311.0
B-PROMOTION,1.0,0.02,0.0392156862745098,50.0
I-PLACE,0.7508896797153025,0.7947269303201506,0.7721866422689845,531.0
I-PRICE,0.5434782608695652,0.42016806722689076,0.47393364928909953,119.0
I-PRODUCT,0.7567703109327983,0.7958860759493671,0.7758354755784062,1896.0
I-PROMOTION,0.07692307692307693,0.008450704225352112,0.015228426395939087,355.0
O,0.5609631147540983,0.7261273209549072,0.6329479768786127,1508.0
accuracy,0.6650943396226415,0.6650943396226415,0.6650943396226415,0.6650943396226415
macro avg,0.6265869083504003,0.4013936113433305,0.42402833066321205,4876.0
weighted avg,0.6370955837770584,0.6650943396226415,0.6365477171993652,4876.0
